token,date,amount
renBTC,8/29/2020,28401722051
renBTC,8/30/2020,48009995672
renBTC,8/31/2020,119998425601
renBTC,9/1/2020,40279072050
renBTC,9/2/2020,189901541652
renBTC,9/3/2020,12976353701
renBTC,9/4/2020,957678761
renBTC,9/5/2020,-23646735923
renBTC,9/6/2020,37604749677
renBTC,9/7/2020,26626591391
renBTC,9/8/2020,48024026027
renBTC,9/9/2020,171617787391
renBTC,9/10/2020,-39556487512
renBTC,9/11/2020,-110767206104
renBTC,9/12/2020,122161403296
renBTC,9/13/2020,192943273296
renBTC,9/14/2020,112696492522
renBTC,9/15/2020,36970546370
sBTC,9/26/2019,38585562166760616
sBTC,9/27/2019,-614215124808359698
sBTC,9/28/2019,31362810940018016711
sBTC,9/29/2019,-26623289517571068858
sBTC,9/30/2019,-29500730064069728
sBTC,10/1/2019,-12577625994100256
sBTC,10/2/2019,-3757762764532311
sBTC,10/3/2019,588055483969927934
sBTC,10/4/2019,2527828958422841109
sBTC,10/5/2019,11272553712173708
sBTC,10/6/2019,66077517528657901
sBTC,10/7/2019,52080382021110916
sBTC,10/8/2019,-28589380213062974
sBTC,10/9/2019,311836656272369644
sBTC,10/10/2019,-25646576904247256445
sBTC,10/11/2019,-46864069834396085
sBTC,10/12/2019,71306498471566671
sBTC,10/13/2019,-641599854954030246
sBTC,10/14/2019,29487788318240244452
sBTC,10/15/2019,-30091999891204669880
sBTC,10/16/2019,8957875735338410811
sBTC,10/17/2019,19464779785556745497
sBTC,10/18/2019,-283180797574888881
sBTC,10/19/2019,78659283152101012
sBTC,10/20/2019,147912472852476484
sBTC,10/21/2019,-971334140993383078
sBTC,10/22/2019,1452313907403267193
sBTC,10/23/2019,49008577726399581942
sBTC,10/24/2019,1337839994298634922
sBTC,10/25/2019,-23285238812150868830
sBTC,10/26/2019,-15088335090248819541
sBTC,10/27/2019,-11584139375480582578
sBTC,10/28/2019,726890568509136741
sBTC,10/29/2019,3268067595547123163
sBTC,10/30/2019,-1683289051828870837
sBTC,10/31/2019,-102743783973280486
sBTC,11/1/2019,1147820623288700086
sBTC,11/2/2019,-891637529065527482
sBTC,11/3/2019,104249602728066811
sBTC,11/4/2019,16678246513856202581
sBTC,11/5/2019,11372386202862355948
sBTC,11/6/2019,-44434629349007264073
sBTC,11/7/2019,1230008359870798791
sBTC,11/8/2019,804689095536636407
sBTC,11/9/2019,1662194759511784940
sBTC,11/10/2019,-5303840038380212
sBTC,11/11/2019,-220218115856808630
